序号,站点KKS编码        ,标签点KKS编码      ,数据类型 ,工程单位         ,数据源地址       ,扫描周期         ,量程范围之下限   ,量程范围之上限   ,压缩偏移量    ,最大压缩时间,存储标识,描述信息                        
448,BCDC,BC_Fir_2_stCndPA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A凝结水泵运行状态
449,BCDC,BC_Fir_2_stCndPAOtVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A凝结水泵出口电动门状态
450,BCDC,BC_Fir_2_stCndPB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B凝结水泵运行状态
451,BCDC,BC_Fir_2_stCndPBOtVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B凝结水泵出口电动门状态
452,BCDC,BC_Fir_2_stCndPC,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B凝结水泵运行状态
453,BCDC,BC_Fir_2_stCndPCOtVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机C凝结水泵出口电动门状态
454,BCDC,BC_Fir_2_stFDFA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A送风机运行状态
455,BCDC,BC_Fir_2_stFDFAOtVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A侧送风机出口风门
456,BCDC,BC_Fir_2_stFDFB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B送风机运行状态
457,BCDC,BC_Fir_2_stFWBigBpsVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机锅炉给水大旁路电动门运行状态
458,BCDC,BC_Fir_2_stFWVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机锅炉主给水电动门运行状态
459,BCDC,BC_Fir_2_stHPBpsStmValA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机高旁进汽门A侧状态
460,BCDC,BC_Fir_2_stHPBpsStmValB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机高旁进汽门B侧状态
461,BCDC,BC_Fir_2_stHPExhStmValA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机高排A侧逆止门状态
462,BCDC,BC_Fir_2_stHPExhStmValB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机高排B侧逆止门状态
463,BCDC,BC_Fir_2_stHPH1stBpsMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机高加旁路电动门
464,BCDC,BC_Fir_2_stHPHInMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机高加入口电动门运行状态
465,BCDC,BC_Fir_2_stHPHOtMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机高加出口电动门运行时状态
466,BCDC,BC_Fir_2_stIDFA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A引风机运行状态
467,BCDC,BC_Fir_2_stIDFAInVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A侧引风机入口风门
468,BCDC,BC_Fir_2_stIDFAOtVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A侧引风机出口风门
469,BCDC,BC_Fir_2_stIDFB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B引风机运行状态
470,BCDC,BC_Fir_2_stIDFBInVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B侧引风机入口风门
471,BCDC,BC_Fir_2_stIDFBOtVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B侧引风机出口风门
472,BCDC,BC_Fir_2_stLPH5thBpsMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机5低加旁路电动门
473,BCDC,BC_Fir_2_stLPH5thMotValIn,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机5低加进电动水门
474,BCDC,BC_Fir_2_stLPH5thMotValOt,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机5低加出电动水门
475,BCDC,BC_Fir_2_stLPH67thBpsMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机67低加旁路电动门
476,BCDC,BC_Fir_2_stLPH67thMotValIn,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机67低加进水电动门
477,BCDC,BC_Fir_2_stLPH67thMotValOt,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机67低加出电动水门
478,BCDC,BC_Fir_2_stLPH8thBpsMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机8低加旁路电动门
479,BCDC,BC_Fir_2_stLPH8thMotValIn,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机8低加进水电动门
480,BCDC,BC_Fir_2_stLPH8thMotValOt,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机8低加出电动水门
481,BCDC,BC_Fir_2_stMillA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A磨煤机运行状态
482,BCDC,BC_Fir_2_stMillB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B磨煤机运行状态
483,BCDC,BC_Fir_2_stMillC,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机C磨煤机运行状态
484,BCDC,BC_Fir_2_stMillD,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机D磨煤机运行状态
485,BCDC,BC_Fir_2_stMillE,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机E磨煤机运行状态
486,BCDC,BC_Fir_2_stMillF,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机F磨煤机运行状态
487,BCDC,BC_Fir_2_stMnVal1st,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机1#中主门运行状态
488,BCDC,BC_Fir_2_stMnVal2nd,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机2#中主门运行状态
489,BCDC,BC_Fir_2_stPAFBInVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B侧送风机出口风门
490,BCDC,BC_Fir_2_stRhtrSpyValA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机再减左电动门（调整门前）状态
491,BCDC,BC_Fir_2_stRhtrSpyValB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机再减右电动门（调整门前）状态
492,BCDC,BC_Fir_2_stStgIISpyValA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机二减左电动门（调整门前）状态
493,BCDC,BC_Fir_2_stStgIISpyValB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机二减右电动门（调整门前）状态
494,BCDC,BC_Fir_2_stStgISpyValA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机一减左电动门（调整门前）状态
495,BCDC,BC_Fir_2_stStgISpyValB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机一减右电动门（调整门前）状态
496,BCDC,BC_Fir_2_stStmMotValA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机电动主汽门A侧运行状态
497,BCDC,BC_Fir_2_stStmMotValB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机电动主汽门B侧运行状态
498,BCDC,BC_Fir_2_stTDFPA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A给水泵运行状态
499,BCDC,BC_Fir_2_stTDFPAOtMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A给水泵出口电动门状态
500,BCDC,BC_Fir_2_stTDFPB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B给水泵运行状态
501,BCDC,BC_Fir_2_stTDFPBOtMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B给水泵出口电动门状态
502,BCDC,BC_Fir_2_svOA,float,%,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A侧氧量
503,BCDC,BC_Fir_2_svOB,float,%,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B侧氧量
504,BCDC,BC_Fir_2_t1stHPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机1号高加抽汽温度
505,BCDC,BC_Fir_2_t1stLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机5号低加抽汽温度
506,BCDC,BC_Fir_2_t2ndHPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机2号高加抽汽温度
507,BCDC,BC_Fir_2_t2ndLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机6号低加抽汽温度
508,BCDC,BC_Fir_2_t3rdLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机7号低加抽汽温度
509,BCDC,BC_Fir_2_t4stLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机8号低加抽汽温度
510,BCDC,BC_Fir_2_tAirA,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A侧冷空气温度
511,BCDC,BC_Fir_2_tAirB,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B侧冷空气温度
512,BCDC,BC_Fir_2_tBear1stAbs,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机1#轴承温度
513,BCDC,BC_Fir_2_tBear2ndAbs,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机2#轴承温度
514,BCDC,BC_Fir_2_tBear3rdAbs,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机3#轴承温度
515,BCDC,BC_Fir_2_tBear4thAbs,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机4#轴承温度
516,BCDC,BC_Fir_2_tBear5thAbs,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机5#轴承温度
517,BCDC,BC_Fir_2_tBear6thAbs,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机6#轴承温度
518,BCDC,BC_Fir_2_tCirWIn,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机循环水入口温度
519,BCDC,BC_Fir_2_tCirWOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机循环水出口温度
520,BCDC,BC_Fir_2_tCndW,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机凝结水温度
521,BCDC,BC_Fir_2_tDea,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机除氧器温度
522,BCDC,BC_Fir_2_tExhStm1,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机排汽温度1
523,BCDC,BC_Fir_2_tExhStm2,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机排汽温度1
524,BCDC,BC_Fir_2_tFDA,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A侧热风温度
525,BCDC,BC_Fir_2_tFDB,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B侧热风温度
526,BCDC,BC_Fir_2_tFW,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机给水温度
527,BCDC,BC_Fir_2_tFlueGasA,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机A侧排烟温度
528,BCDC,BC_Fir_2_tFlueGasB,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机B侧排烟温度
529,BCDC,BC_Fir_2_tHRhtStm,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机机侧再热汽温度
530,BCDC,BC_Fir_2_tLOil,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机润滑油温度
531,BCDC,BC_Fir_2_tMnStm,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机机测主汽温度
532,BCDC,BC_Fir_2_u6KVIA,float,KV,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机6KVIA段母线电压
533,BCDC,BC_Fir_2_u6KVIB,float,KV,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机6KVIB段母线电压
534,BCDC,BC_Fir_2_uFadjC,float,V,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机发电机C项电压
535,BCDC,BC_Fir_2_vacmCnds,float,KPa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机凝汽器真空
536,BCDC,BC_Fir_2_wCndW,float,t/h,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机凝结水流量
537,BCDC,BC_Fir_2_wFW,float,t/h,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机主给水流量
538,BCDC,BC_Fir_2_wLelCnds,float,mm,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机凝汽器水位
539,BCDC,BC_Fir_2_wLelDea,float,mm,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机除氧器水位
540,BCDC,BC_Fir_2_wLelDrum,float,mm,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机汽包水位（储水箱水位）
541,BCDC,BC_Fir_2_wMnStm,float,t/h,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#2机主蒸汽流量
542,BCDC,BC_Fir_stIntfFlag,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂通讯状态
543,CCYR,CCYR_Fir_1_#1QALLJLL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-#1气氨流量计流量
544,CCYR,CCYR_Fir_1_#1QALLJQQDTJFKD,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-至#1气氨流量计前气动调节阀开度
545,CCYR,CCYR_Fir_1_#2QALLJLL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-#2气氨流量计流量
546,CCYR,CCYR_Fir_1_#2QALLJQQDTJFKD,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-至#2气氨流量计前气动调节阀开度
547,CCYR,CCYR_Fir_1_ACSCRFYQCKYQNH3HL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器出口烟气NH3含量
548,CCYR,CCYR_Fir_1_ACSCRFYQCKYQNOXHL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器出口烟气NOx含量
549,CCYR,CCYR_Fir_1_ACSCRFYQCKYQO2HL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器出口烟气O2含量
550,CCYR,CCYR_Fir_1_ACSCRFYQCKYQWD1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器出口净烟气温度1
551,CCYR,CCYR_Fir_1_ACSCRFYQCKYQWD2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器出口净烟气温度2
552,CCYR,CCYR_Fir_1_ACSCRFYQCKYQWD3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器出口净烟气温度3
553,CCYR,CCYR_Fir_1_ACSCRFYQCKYQYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器出口烟气压力
554,CCYR,CCYR_Fir_1_ACSCRFYQRKO2HL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器入口烟气O2含量
555,CCYR,CCYR_Fir_1_ACSCRFYQRKYQNOXHL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器入口烟气NOx含量
556,CCYR,CCYR_Fir_1_ACSCRFYQRKYQWD1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器入口烟气温度1
557,CCYR,CCYR_Fir_1_ACSCRFYQRKYQWD2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器入口烟气温度2
558,CCYR,CCYR_Fir_1_ACSCRFYQRKYQWD3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器入口烟气温度3
559,CCYR,CCYR_Fir_1_ACSCRFYQRKYQYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧SCR反应器入口烟气压力
560,CCYR,CCYR_Fir_1_ACTLXL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A侧脱硝效率
561,CCYR,CCYR_Fir_1_ADBJKDDMZT,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-A挡板密封风机运行
562,CCYR,CCYR_Fir_1_ADBJKDDMZT1,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机A挡板密封风机运行
563,CCYR,CCYR_Fir_1_BCSCRFYQCKYQNH3HL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器出口烟气NH3含量
564,CCYR,CCYR_Fir_1_BCSCRFYQCKYQNOXHL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器出口烟气NOx含量
565,CCYR,CCYR_Fir_1_BCSCRFYQCKYQO2HL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器出口烟气O2含量
566,CCYR,CCYR_Fir_1_BCSCRFYQCKYQWD1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器出口净烟气温度1
567,CCYR,CCYR_Fir_1_BCSCRFYQCKYQWD2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器出口净烟气温度2
568,CCYR,CCYR_Fir_1_BCSCRFYQCKYQWD3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器出口净烟气温度3
569,CCYR,CCYR_Fir_1_BCSCRFYQCKYQYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器出口烟气压力
570,CCYR,CCYR_Fir_1_BCSCRFYQRKO2HL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器入口烟气O2含量
571,CCYR,CCYR_Fir_1_BCSCRFYQRKYQNOXHL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器入口烟气NOx含量
572,CCYR,CCYR_Fir_1_BCSCRFYQRKYQWD1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器入口烟气温度1
573,CCYR,CCYR_Fir_1_BCSCRFYQRKYQWD2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器入口烟气温度2
574,CCYR,CCYR_Fir_1_BCSCRFYQRKYQWD3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器入口烟气温度3
575,CCYR,CCYR_Fir_1_BCSCRFYQRKYQYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧SCR反应器入口烟气压力
576,CCYR,CCYR_Fir_1_BCTLXL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B侧脱硝效率
577,CCYR,CCYR_Fir_1_BDBJKDDMZT,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-B挡板密封风机运行
578,CCYR,CCYR_Fir_1_BDBJKDDMZT1,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机B挡板密封风机运行
579,CCYR,CCYR_Fir_1_GLXL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-锅炉负荷
580,CCYR,CCYR_Fir_1_GLZFL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热#1锅炉总风量
581,CCYR,CCYR_Fir_1_GLZFL1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-锅炉侧引风机风量
582,CCYR,CCYR_Fir_1_JZDGL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热#1机组电功率
583,CCYR,CCYR_Fir_1_SCRFYQJAQYATYND,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-SCR反应器加氨区域氨逃逸浓度
584,CCYR,CCYR_Fir_1_TLCKSD,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫出口湿度
585,CCYR,CCYR_Fir_1_TLCKYQWD,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫出口烟气温度1
586,CCYR,CCYR_Fir_1_TLCKYQYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫出口烟气压力
587,CCYR,CCYR_Fir_1_TLCKYQYL(CEMS),float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫出口烟气压力（CEMS）
588,CCYR,CCYR_Fir_1_TLJJYGJLL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫剂浆液供浆流量
589,CCYR,CCYR_Fir_1_TLJJYGJTJFKDD,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫剂浆液供浆调节阀开度
590,CCYR,CCYR_Fir_1_TLRKYQWD1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热#1脱硫入口烟气温度1
591,CCYR,CCYR_Fir_1_TLRKYQWD2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机长春一热#1脱硫入口烟气温度2
592,CCYR,CCYR_Fir_1_TLRKYQWD3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫入口烟气温度3
593,CCYR,CCYR_Fir_1_TLRKYQYL1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫入口烟气压力1
594,CCYR,CCYR_Fir_1_TLRKYQYL2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫入口烟气压力2
595,CCYR,CCYR_Fir_1_TLRKYQYL3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机脱硫入口烟气压力3
596,CCYR,CCYR_Fir_1_TLXL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-脱硫效率
597,CCYR,CCYR_Fir_1_XSFJYXZT,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-#1稀释风机运行状态
598,CCYR,CCYR_Fir_1_XSFJYXZT1,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-#2稀释风机运行状态
599,CCYR,CCYR_Fir_1_XSTCWQCXSYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔除雾器冲洗水压力
600,CCYR,CCYR_Fir_1_XSTCWQHYQYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔除雾器后烟气压力
601,CCYR,CCYR_Fir_1_XSTCWQQYQYL,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔除雾器前烟气压力
602,CCYR,CCYR_Fir_1_XSTMD,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔密度
603,CCYR,CCYR_Fir_1_XSTPHZ,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔pH值
604,CCYR,CCYR_Fir_1_XSTXHJYYXDL1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵1电流
605,CCYR,CCYR_Fir_1_XSTXHJYYXDL2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵2电流
606,CCYR,CCYR_Fir_1_XSTXHJYYXDL3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵3电流
607,CCYR,CCYR_Fir_1_XSTXHJYYXDL4,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵4电流
608,CCYR,CCYR_Fir_1_XSTXHJYYXZT1,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵1运行状态
609,CCYR,CCYR_Fir_1_XSTXHJYYXZT2,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵2运行状态
610,CCYR,CCYR_Fir_1_XSTXHJYYXZT3,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵3运行状态
611,CCYR,CCYR_Fir_1_XSTXHJYYXZT4,bool,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔循环浆液泵4运行状态
612,CCYR,CCYR_Fir_1_XSTYW1,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔液位1
613,CCYR,CCYR_Fir_1_XSTYW2,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔液位2
614,CCYR,CCYR_Fir_1_XSTYW3,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机吸收塔液位3
615,CCYR,CCYR_Fir_1_dsplBear1stHorRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-1#瓦相对振动（水平）
616,CCYR,CCYR_Fir_1_dsplBear1stMixRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-1#瓦相对振动（复合）
617,CCYR,CCYR_Fir_1_dsplBear1stVerRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-1#瓦相对振动（垂直）
618,CCYR,CCYR_Fir_1_dsplBear2ndHorRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-2#瓦相对振动（水平）
619,CCYR,CCYR_Fir_1_dsplBear2ndMixRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-2#瓦相对振动（复合）
620,CCYR,CCYR_Fir_1_dsplBear2ndVerRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-2#瓦相对振动（垂直）
621,CCYR,CCYR_Fir_1_dsplBear3rdHorRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-3#瓦相对振动（水平）
622,CCYR,CCYR_Fir_1_dsplBear3rdMixRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-3#瓦相对振动（复合）
623,CCYR,CCYR_Fir_1_dsplBear3rdVerRltv,float,,CCYR,1000.00,0.00,10000.00,0.01,1,1,长春一热-#1机-3#瓦相对振动（垂直）
